"alert.close.button": "Close"
"navigator.usercounttooltip.friends": "Amount of friends are in this room"
"navigator.usercounttooltip.populartag": "Amount of Habbos in rooms that have this tag"
"navigator.usercounttooltip.staticsearch": "Amount of Habbos in rooms that match this search"
"navigator.usercounttooltip.users": "Amount of Habbos currently in this room"
"navigator.zoom.in": "Zoom in"
"navigator.zoom.out": "Zoom out"
"notification.admin.title": "Message From Hotel Staff"
"notification.ambassador.alert.warning.message": "The Ambassadors don't think your behaviour is appropriate. You should watch out before we get involved!"
"notification.ambassador.alert.warning.title": "Ambassador Alert!"
"notification.builders_club.membership_expired.linkTitle": "Go to Membership Status"
"notification.builders_club.membership_expired.linkUrl": "event:catalog/warehouse"
"notification.builders_club.membership_expired.message": "Your Builders' Club membership has expired. Your rooms that contain Builders' Club items are now locked!"
"notification.builders_club.membership_expired.message_no_rooms": "Renew now to keep building!"
"notification.builders_club.membership_expired.title": "Your Builders' Club membership has expired!"
"notification.builders_club.membership_expires.linkTitle": "Check your membership status"
"notification.builders_club.membership_expires.linkUrl": "event:catalog/warehouse"
"notification.builders_club.membership_expires.message": "If your membership is not renewed, your rooms that contain Builders' Club items will become locked!"
"notification.builders_club.membership_expires.title": "Your Builders' Club membership expires soon!"
"notification.builders_club.membership_extended.linkTitle": "Check your membership status"
"notification.builders_club.membership_extended.linkUrl": "event:catalog/warehouse"
"notification.builders_club.membership_extended.message": "You've extended your Builders' Club Membership, and your club limit is now  %FURNI_LIMIT% items! Happy building!"
"notification.builders_club.membership_extended.title": "Your Builders' Club membership is extended!"
"notification.builders_club.membership_in_grace.linkTitle": "Check your membership status."
"notification.builders_club.membership_in_grace.linkUrl": "event:catalog/warehouse"
"notification.builders_club.membership_in_grace.message": "If your membership is not renewed, your rooms that contain Builders' Club items will become locked!"
"notification.builders_club.membership_in_grace.title": "Your Builders' Club membership in grace period!"
"notification.builders_club.membership_made.linkTitle": "Check your membership status"
"notification.builders_club.membership_made.linkUrl": "event:catalog/warehouse"
"notification.builders_club.membership_made.message": "Your rooms that contain Builders' Club items have been unlocked, and your club limit has been raised to %FURNI_LIMIT% items! Happy building!"
"notification.builders_club.membership_made.title": "Welcome to Builders' Club!"
"notification.builders_club.membership_renewed.linkTitle": "Check your membership status"
"notification.builders_club.membership_renewed.linkUrl": "event:catalog/warehouse"
"notification.builders_club.membership_renewed.message": "Your rooms that contain Builders' Club items are now unlocked, and your club limit has been raised to %FURNI_LIMIT% items! Happy building!"
"notification.builders_club.membership_renewed.title": "Welcome to Builders' Club!"
"notification.builders_club.room_locked.linkTitle": "Builders' Club FAQ"
"notification.builders_club.room_locked.linkUrl": "event:habbopages/builders-club/faq"
"notification.builders_club.room_locked.message": "You can't have visitors to your room on a free trial subscription. Subscribe to a Builders' Club membership to let your friends in! Happy Building! :)"
"notification.builders_club.room_locked.title": "This room has been locked!"
"notification.builders_club.room_unlocked.message": "You've removed all Builders Club furni from your room. Depending on your room's access setting, you may now receive visitors."
"notification.builders_club.visit_denied_for_owner.linkUrl": "event:friendbar/user/%USERNAME%"
"notification.builders_club.visit_denied_for_owner.message": "%USERNAME% could not visit this room, because it contains Builders' Club items and you do not have Builders' Club membership."
"notification.builders_club.visit_denied_for_visitor.linkTitle": "Builders' Club FAQ"
"notification.builders_club.visit_denied_for_visitor.linkUrl": "event:habbopages/builders-club/faq"
"notification.builders_club.visit_denied_for_visitor.message": "This room contains Builders' Club items and the owner does not have Builders' Club membership..."
"notification.builders_club.visit_denied_for_visitor.title": "This room is locked!"
"notification.campaign.credit.donation.message": "Check your purse. You've been given %credits% free Credits!"
"notification.campaign.product.donation.message": "Check your inventory in the Hotel or on your Habbo Home. You received a gift. Awesome!"
"notification.casino.too_many_dice.message": "You have exceeded the maximum number of randomizer elements for your room. Please remove some if you would like them to be functional as dice."
"notification.casino.too_many_dice.placement.message": "Only 3 functional randomizer furni allowed per room. You can continue placing these items as design elements, but they will no longer function as dice."
"notification.casino.too_many_dice.placement.title": "Alert!"
"notification.casino.too_many_dice.title": "Alert!"
"notification.figureset.already.redeemed.linkTitle": "Open Avatar Editor"
"notification.figureset.already.redeemed.linkUrl": "event:avatareditor/open"
"notification.figureset.already.redeemed.message": "You have already redeemed this furniture and can use the clothes in the Avatar Editor!"
"notification.figureset.already.redeemed.title": "Already in use!"
"notification.figureset.redeemed.success.linkTitle": "Open Avatar Editor"
"notification.figureset.redeemed.success.linkUrl": "event:avatareditor/open"
"notification.figureset.redeemed.success.message": "Yay! You have new clothes in the avatar editor!"
"notification.figureset.redeemed.success.title": "New Clothes delivered!"
"notification.floorplan_editor.error.message.change_blocked_by_room_item": "Change blocked by room item"
"notification.floorplan_editor.error.message.effective_height_is_0": "effective height is 0"
"notification.floorplan_editor.error.message.effective_width_is_0": "effective width is 0"
"notification.floorplan_editor.error.message.entry_not_on_tile": "Entry not on tile"
"notification.floorplan_editor.error.message.entry_tile_outside_map": "Entry tile outside map"
"notification.floorplan_editor.error.message.general": "General"
"notification.floorplan_editor.error.message.invalid_door_setup": "Invalid door setup! Only one tile allowed on first row or first column!"
"notification.floorplan_editor.error.message.invalid_entry_tile_direction": "Invalid entry tile direction"
"notification.floorplan_editor.error.message.invalid_floor_thickness": "Invalid Floor Thickness"
"notification.floorplan_editor.error.message.invalid_wall_thickness": "Invalid Wall Thickness"
"notification.floorplan_editor.error.message.invalid_walls_fixed_height": "Invalid walls fixed height"
"notification.floorplan_editor.error.message.max": "max"
"notification.floorplan_editor.error.message.tiles": "tiles"
"notification.floorplan_editor.error.message.too_large_area": "Area too large"
"notification.floorplan_editor.error.message.too_large_height": "Height too large"
"notification.floorplan_editor.error.message.too_large_width": "Width too large"
"notification.floorplan_editor.error.message": "%ERRORS%"
"notification.floorplan_editor.error.title": "Floor plan validation failed"
"notification.forums.delivered.linkTitle": "Check the forum"
"notification.forums.delivered.linkUrl": "event:groupforum/%GROUPID%"
"notification.forums.delivered.message": "Congratulations! Guild \"
"notification.forums.delivered.title": "Group Forum Created"
"notification.forums.error.access_denied.message": "Seems like you do not have rights to perform requested action. Please refresh forum view."
"notification.forums.error.access_denied.title": "Forum Authorization Failed"
"notification.forums.forum_settings_updated.message": "Group forum settings updated!"
"notification.forums.message.hidden.message": "Forum message hidden"
"notification.forums.message.restored.message": "Forum message restored"
"notification.forums.thread.hidden.message": "Forum thread hidden"
"notification.forums.thread.locked.message": "Forum thread locked"
"notification.forums.thread.pinned.message": "Forum thread pinned"
"notification.forums.thread.restored.message": "Forum thread restored"
"notification.forums.thread.unlocked.message": "Forum thread unlocked"
"notification.forums.thread.unpinned.message": "Forum thread un-pinned"
"notification.gifting.valentine.linkTitle": "View it"
"notification.gifting.valentine.linkUrl": "event:inventory/open/furni/%INVENTORYID%"
"notification.gifting.valentine.message": "You have received a Habbo Selfie from %USERNAME%"
"notification.grouproom.frozen.message": "Frozen group room - action not possible!"
"notification.grouproom.frozen.title": "Group Room Frozen"
"notification.mute.forbidden.time.message": "You are muted! The mute will expire in %hours% hours, %minutes% minutes and %seconds% seconds."
"notification.mysterybox.error.already_opened.guest.message": "This box will close again (and contain a new prize) when the owner completes the next daily quest chain.."
"notification.mysterybox.error.already_opened.owner.message": "This box will close again (and contain a new prize) when you complete the next daily quest chain.."
"notification.mysterybox.error.already_unlocked.guest.message": "Go find another un-opened box of the same color."
"notification.mysterybox.error.inactive.guest.message": "Owner of this box must complete daily quest chain to activate it."
"notification.mysterybox.error.inactive.owner.message": "Activate this box by completing daily quest chain."
"notification.mysterybox.error.no_key.message": "Get the key by completing daily quest chain."
"notification.mysterybox.error.title": "Mystery Box"
"notification.mysterybox.error.unexpected.message": "Something went wrong. Please, re-login and try to open the box again."
"notification.mysterybox.error.wrong_key.message": "Go find box with the same color as your key. You can check key color from the little \"
"notification.notification.nux.popup.title": "Welcome to Habbo"
"notification.npc.gift.received.message": "You received a gift from %npc_name%!"
"notification.permanent_effect_exists.message": "You own this permanent effect already!"
"notification.permanent_effect_exists.title": "Permanent effect exists"
"notification.purchasing.room.linkTitle": "Go to %ROOMNAME%"
"notification.purchasing.room.linkUrl": "event:navigator/goto/%ROOMID%"
"notification.purchasing.room.message": "Congratulations! You've just got a new room \"
"notification.purchasing.room.title": "New Room Notification"
"notification.room.kick.cannonball.message": "Boo!You were kicked during the game :D"
"notification.room.kick.cannonball.title": "Kicked from room"
"notification.room_entry.frozen_mode.message": "This room has been closed and suspended for violating the terms and conditions of Habbo and is no longer available."
"notification.room_entry.frozen_mode.title": "Room closed"
"notification.trade.new_trading_locked.message": "You are trade locked for %days% days %hours% hours %minutes% minutes. For more information please contact us through the Habbo Help Tool at %ZENDESK_URL%."
"notification.trade.new_trading_locked.title": "You are trade locked!"
"notification.trade.permanent_trading_locked.message": "You are trade locked permanently. In order to trade with other Habbos you will need to discuss the current lock on your account with customer care. Please create a support ticket at %ZENDESK_URL%"
"notification.trade.permanent_trading_locked.title": "You are trade locked permanently!"
"notification.trade.trading_locked.message": "You are trade locked until %expiry_time%. For more information please contact us through the Habbo Help Tool at %ZENDESK_URL%."
"notification.trade.trading_locked.title": "You are trade locked!"
"notification.trade.trading_perk.message": "In order to trade with other Habbos or use the marketplace you will first need to unlock the ability on your citizenship tree."
"notification.trade.trading_perk.title": "You're not a Habbo Citizen!"
"notification.trading.warning.credits.message": "Any credit furni offered will be converted to credits in the recipient's purse! Your version of Habbo is out of date - please update it."
"notification.universal_pricing.prepaid_card.message": "Thanks for redeeming your card, to upgrade to our latest pricing guidelines enjoy %EXTRA_CREDITS% extra credits!"
"notification.universal_pricing.prepaid_card.title": "More for your money!"
"notifications.achievement.bonus.description.a": "Get an additional reward of"
"notifications.achievement.bonus.description.b": "if you share your achievement in Facebook."
"notifications.achievement.bonus.value": "+%bonus_points% points"
"notifications.achievement.bonus_collect": "Collect"
"notifications.achievement.bonus_received.name": "%realname% clicked the link in your Facebook post, and you got your Achievement reward!"
"notifications.achievement.bonus_received": "You received bonus points!"
"notifications.achievement.no_facebook": "Play with Facebook, and earn an extra +%bonus_points% points!"
"notifications.achievement.share": "Get the reward"
"notifications.achievement.skip": "Skip"
"notifications.broadcast.title": "Message from Habbo Hotel"
"notifications.button.achievement.close": "Close"
"notifications.button.achievement.post_to_facebook": "Post to Facebook feed"
"notifications.button.later": "Not now"
"notifications.button.open_club_page": "Get more"
"notifications.button.open_club_promo_page": "Join Habbo Club"
"notifications.button.safety_locked_unlock": "Unlock"
"notifications.button.show_gift_list": "Choose your gift"
"notifications.gotbonus.ok": "Yay!"
"notifications.motd.title": "Messages for you"
"notifications.text.achievement.achievement_points": "Achievement points: %achievement_points%"
"notifications.text.achievement.congratulations": "Congratulations!"
"notifications.text.achievement.reward.0": "Reward: %pixels% pixels"
"notifications.text.achievement.reward.1": "Reward: %activitypoints% Seashells"
"notifications.text.achievement.reward.2": "Reward: %activitypoints% Hearts"
"notifications.text.achievement.unlocked": "You unlocked the achievement"
"notifications.text.achievement": "You unlocked the achievement \"
"notifications.text.activitypoints.0": "%change% Pixels received, you now have %count%."
"notifications.text.activitypoints.1": "%change% Seashells received, you now have %count%."
"notifications.text.activitypoints.2": "%change% Hearts received, you now have %count%."
"notifications.text.activitypoints.3": "%change% gift points received, you now have %count%."
"notifications.text.builders_club.ending": "Your Builders' Club expires in:"
"notifications.text.buyfurni": "%furni_name% bought and delivered to your inventory!"
"notifications.text.club.ending": "Your Habbo Club expires in:"
"notifications.text.club_ending": "You have %days% days left of your Habbo Club membership. Go to the Shop to get some more!"
"notifications.text.club_gift.received": "Club gift added to inventory."
"notifications.text.club_gift": "It's time to pick up your monthly club gift!"
"notifications.text.club_promo.benefits": "Check out Habbo Club benefits"
"notifications.text.club_promo.discount": "Discount"
"notifications.text.club_promo.regularprice": "Regular price"
"notifications.text.club_promo.yourprice": "Your price"
"notifications.text.club_promo": "Get one month of Habbo Club for a great price and receive extra clothes, hairstyles, a free gift and more! Join the Club right now!"
"notifications.text.clubdays.long": "You have %days% days and %months% months of Habbo Club remaining."
"notifications.text.clubdays": "You have %days% of Habbo Club remaining."
"notifications.text.duckets.received": "You received %AMOUNT% duckets!"
"notifications.text.friend.offline.realname": "%user_name% (%real_name%) went offline."
"notifications.text.friend.offline": "%user_name% went offline."
"notifications.text.friend.online.realname": "%user_name% (%real_name%) came online."
"notifications.text.friend.online": "%user_name% came online."
"notifications.text.hcdays": "You now have %count% days of Habbo Club left."
"notifications.text.loyalty.received": "You received %AMOUNT% Diamonds!"
"notifications.text.petbought": "You bought a pet as a gift."
"notifications.text.petlevel": "Your pet %pet_name% is now level %level%."
"notifications.text.petreceived": "You bought a pet."
"notifications.text.purchase.ok": "You successfully purchased this item : %productName%!"
"notifications.text.received.badge": "Nice! %user_name% just gave you a badge!"
"notifications.text.receivedcredits": "You received %count% Credits."
"notifications.text.recycle.ok": "Recycling complete! You have received a mysterious package!"
"notifications.text.respect.1": "Respect! You have been respected."
"notifications.text.respect.2": "You now have %count% respect points."
"notifications.text.safety_locked": "Account is safety locked! Some functionality is disabled. Please visit the Habbo website to unlock."
"notifications.text.safety_locked_inclient_unlock": "Your account is safety locked and some functionality is disabled. Do you want to unlock it?"
"notifications.text.safety_locked_unlocked": "Safety lock has been removed."
"notifications.text.vipdays.long": "You have %days% days and %months% months of Habbo Club remaining."
"notifications.text.vipdays": "You have %days% of Habbo Club remaining."
"notifications.title.achievement": "Achievement Unlocked!"
"notifications.title.bonus": "Your friend shared an achievement reward!"
"notifications.title.club_ending": "Habbo Club reminder"
"notifications.title.club_gift": "Club gift"
"notifications.title.club_promo": "Get Habbo Club Now!"
"notifications.viral_furni.fb.desc": "%realname% found a package made of leaves in Habbo, and needs you help to open it!"
"notifications.viral_furni.fb.title": "%realname% needs help opening a locked package!"
"nux.bot.bubble.duckets.1": "Did you know, in Habbo we have a currency that you earn every visit!? They're called Duckets!"
"nux.bot.bubble.duckets.2": "You can use Duckets to buy furniture, decorations, and more pet food for your pet. Check out the <a href,'event:catalog/open/ducket_info'>duckets section</a> in our shop!"
"nux.bot.bubble.farewell.2": "Enjoy your stay, %username%!"
"nux.bot.bubble.gift.fridge.1": "Here's your first one: a refrigerator that's always full! You can find it in your inventory."
"nux.bot.bubble.gift.fridge.2": "Place your new refrigerator on the floor, then double-click it to get a refreshment."
"nux.bot.bubble.gift.hc.1": "I have another gift for you today...a Habbo Club membership!"
"nux.bot.bubble.gift.hc.2": "For the next 3 days you will have access to Habbo Club and all it's awesome features - like exclusive clothes and hairstyles!"
"nux.bot.bubble.gift.pet.1": "Did you know we have pets in Habbo? Oh, yes! Everything from cats and dogs to pigs and even dragons!"
"nux.bot.bubble.gift.pet.2": "For your gift today, you have three options. Please choose from the menu."
"nux.bot.bubble.gift.pet.promise.1": "Tomorrow I'll be giving you your very own pet - a cat, a dog or a pig!"
"nux.bot.bubble.greeting.2": "Welcome back, %username%!"
"nux.bot.bubble.hcpromo.1": "Have you enjoyed the Habbo Club? It is the ultimate way to express yourself and stand out from the crowd!"
"nux.bot.bubble.hcpromo.2": "For the price of a soda you can join Habbo Club and get thousands of additional clothing, hair and accessory combinations!"
"nux.bot.bubble.hcpromo.3": "You can extend your membership <a href,'event:catalog/open/club_buy'>by clicking here.</a>"
"nux.bot.day.1.step.1.bubble.0": "Welcome to Habbo, %username%! - I'm Frank, the Hotel manager. Click on the floor to walk and come on in, this is your home room!"
"nux.bot.day.1.step.1.bubble.1": "Over the next few days, I will be giving you lots of free but valuable gifts!"
"nux.bot.day.1.step.1.bubble.2.fridge": "Here's your first free gift - a refrigerator that's always full! You can find it in your inventory."
"nux.bot.day.1.step.1.bubble.2": "Would you like your first gift?"
"nux.bot.day.1.step.2.bubble.1.fridge": "You can find your fridge by pressing the <a href,'event:toolbar/highlight/inventory'>inventory button</a> in the lower left toolbar.<img src,'http://images.habbo.com/c_images/nux/inventory.png'/><br><br><br><br><br><br><br>"
"nux.bot.day.1.step.2.bubble.2": "To place items in your room, simply drag them from your inventory."
"nux.bot.day.1.step.3.bubble.1.fridge": "After placing the refrigerator on the floor, double-click it to get a refreshment!"
"nux.bot.day.1.step.3.bubble.1": "To place your TV, simply drag it from your inventory and put it down somewhere in your room."
"nux.bot.day.1.step.3.bubble.2": "Well, I've got to go greet the other guests - See you tomorrow! Please go explore the hotel on your own, tomorrow you'll get your very own pet - a cat, a dog or a pig!"
"nux.bot.day.1.step.5.bubble.1": "Well, I've got to go greet the other guests. Please go explore the hotel on your own, tomorrow you'll get your very own pet - a cat, a dog or a pig!"
"nux.bot.day.1.step.5.bubble.2": "See you tomorrow, %username%!"
"nux.bot.day.2.step.1.bubble.1": "Hello, there! It's great to see you again. Welcome back!"
"nux.bot.day.2.step.1.bubble.2": "Did you know we have pets in Habbo? Oh, yes! Everything from cats and dogs, to crocodiles, bears, frogs, pigs, monkeys and even monster plants!"
"nux.bot.day.2.step.1.bubble.3": "For your gift today, you have three options! Please choose from the menu below."
"nux.bot.day.2.step.2.bubble.1": "Great choice! Check your <a href,'event:toolbar/highlight/inventory'>inventory</a>! Your pet is in a box ready to play... I also gave you some pet food to get started..."
"nux.bot.day.2.step.2.bubble.2": "Well, that's all I have for today - Tomorrow I'll give you a free membership to Habbo Club! See you then."
"nux.bot.day.2.step.2.bubble.3": "See you tomorrow, %username%!"
"nux.bot.day.3.step.1.bubble.1": "Welcome back, %username%!"
"nux.bot.day.3.step.1.bubble.2": "Ah, how is your pet? Hungry? In Habbo we have a second currency that you earn on every visit: Duckets! You can use it to buy more pet food from the <a href,'event:catalog/open/ducket_info'>duckets section</a> of our shop!"
"nux.bot.day.3.step.1.bubble.3.3day": "A 3-day Habbo Club membership!"
"nux.bot.day.3.step.1.bubble.3": "As promised, I have a very special gift for you today."
"nux.bot.day.3.step.1.bubble.4": "Before I give you the membership, you'll need to verify your account via SMS text."
"nux.bot.day.3.step.1.bubble.5": "Don't worry, we won't send you any pesky marketing. Click me to find out more about SMS verification."
"nux.bot.day.3.step.2.bubble.1": "You now have access to Habbo Club and all it's amazing features for 3 days!"
"nux.bot.day.3.step.2.bubble.2": "Why don't you try out a new outfit :)"
"nux.bot.day.3.step.3.bubble.1": "Well, enjoy the rest of your day!"
"nux.bot.day.3.step.3.bubble.2": "See you tomorrow, %username%!"
"nux.bot.info.chat.1": "You can chat with others by typing here."
"nux.bot.info.inventory.1": "This is the inventory. You can place items in your room by simply dragging them to your floor."
"nux.bot.info.memenu.1": "Here you find your own settings. Change clothes or tune other things related to your character."
"nux.bot.info.navigator.1": "This is the navigator. Use it to explore the thousands of rooms in the hotel!"
"nux.bot.info.shop.1": "This is the Habbo Shop. Here you can find exciting stuff that makes Habbo even more fun. Try it out!"
"nux.gift.cat": "Cat"
"nux.gift.dog": "Dog"
"nux.gift.pig": "Pig"
"nux.gift.selection.button.get": "Get this"
"nux.gift.selection.choose.one": "Get your free gift!"
"nux.gift.selection.separator": "%20+%20"
"nux.gift.selection.title": "Choose gift option"
"nux.local_notication.action": "Open"
"nux.local_notification.message": "Don't miss the action! Come back to Habbo!"
"nux.offer.noob.lobby.button": "Enter the room!"
"nux.offer.noob.lobby.summary": "Enter a room to meet other new users."
"nux.offer.old.user.button.skip": "No, thanks!"
"nux.offer.old.user.button.verify": "Verify & get gifts"
"nux.offer.old.user.summary": "Hello, old friend! Would you like some free gifts? I know I would. I have a bounty of beautiful gifts for you - A sack (yep, a whole sack!) of FREE credits, a super hi-tech YouTube TV, and your choice of an adorable pet Dog, Cat, or Pig. To claim your free gifts, simply verify your phone number below."
"nux.offer.old.user.title": "Would you like to get some gifts?"
"profile.choose_action": "Choose Action"
"profile.relationship.status": "Relationship status:"
"profile.set.relationship": "Relationship status:"
"talent.track.action.overlay": "START BY CLICKING HERE"
"talent.track.citizenship.begin.description": "We want you to get most out of your time in Habbo, so before venturing out on your own, please take a look at what it means to be a Habbo Citizen. There'll be prizes - that's a promise! ;)"
"talent.track.citizenship.begin.register": "REGISTER TO HABBO"
"talent.track.citizenship.begin.title": "Your path to becoming a full-fledged Habbo Citizen"
"talent.track.citizenship.button": "See my Citizen Track"
"talent.track.citizenship.frame.subtitle": "MY TALENT TRACK"
"talent.track.citizenship.frame.title": "Being a Habbo Citizen"
"talent.track.citizenship.level.0.description": "A citizen is entitled to his/her voice in the community. Read the safety rules to find out how you can chat safely in Habbo!"
"talent.track.citizenship.level.0.title": "Speak Out!"
"talent.track.citizenship.level.1.description": "Now you know how to keep yourself safe, so why not take a look around? We're sure you'll find something you like!"
"talent.track.citizenship.level.1.title": "Take a look around"
"talent.track.citizenship.level.1.unlock": "We all have a voice around here. What will you do with yours? :)"
"talent.track.citizenship.level.2.description": "Look at you, all suave and ready to dive into Habbo! How about looking at a few more rooms, or maybe playing a game or two?"
"talent.track.citizenship.level.2.title": "Dive In!"
"talent.track.citizenship.level.2.unlock": "You've been around and heard some stories. We think you're ready to tell yours."
"talent.track.citizenship.level.3.description": "You've looked around, played a few games, and maybe even re-decorated your room. You've worked hard to earn our trust, and it shall be rewarded. :)"
"talent.track.citizenship.level.3.title": "The way of the True Citizen"
"talent.track.citizenship.level.3.unlock": "We know you've had your eye on that one special Furni, so why not ask around? :)"
"talent.track.citizenship.level.4.description": "You're now ready to be a full Habbo Citizen! Now go out and explore, the Hotel is your oyster! :)"
"talent.track.citizenship.level.4.title": "You are one of us!"
"talent.track.citizenship.level.4.unlock": "Wooo! You've earned your wings as a Citizen. Congrats! :)"
"talent.track.citizenship.levelup.message": "Way to go! Your hard work has just unlocked a new level on the Habbo Citizenship talent track!"
"talent.track.citizenship.progress.title": "YOUR PROGRESS"
"talent.track.common.levelup.caption": "Talent Track level up!"
"talent.track.common.levelup.check": "Go check your talent track"
"talent.track.common.levelup.rewards": "HERE'S WHAT YOU GOT:"
"talent.track.common.levelup.title": "Mad Skills!"
"talent.track.common.progress.position": "You are here"
"talent.track.common.progress.title": "YOUR PROGRESS AS A HELPER"
"talent.track.common.unlocked.level.prefix": "New level:"
"talent.track.common.unlocked": "UNLOCKED"
"talent.track.common.view.progress.tooltip": "Your progress:"
"talent.track.helper.begin.citizenship": "BECOME A CITIZEN"
"talent.track.helper.begin.description": "Everyone needs a helping hand every now and then. Pay it forward - it's worth it. :)"
"talent.track.helper.begin.register": "REGISTER TO HABBO"
"talent.track.helper.begin.title": "Your journey as a Helper"
"talent.track.helper.frame.subtitle": "MY TALENT TRACK"
"talent.track.helper.frame.title": "Helping others"
"talent.track.helper.guide.begin.description": "Everyone needs a helping hand every now and then. Pay it forward - it's worth it. :)<br><br>Your path as a Guide started when you became a Habbo Citizen. How about taking the next step?"
"talent.track.helper.guide.begin.title": "Your journey as a Guide"
"talent.track.helper.level.0.description": "Every journey begins somewhere. Your path as a tour guide started when you registered to Habbo!"
"talent.track.helper.level.0.title": "Covering the basics"
"talent.track.helper.level.0.unlock": ""
"talent.track.helper.level.1.description": "It's time to dive into what Habbo is all about, so explore, have fun, make friends - see what it's all about!"
"talent.track.helper.level.1.title": "Greenhorn No More"
"talent.track.helper.level.1.unlock": "Get acquainted with the inner workings of the Hotel to unlock the next level."
"talent.track.helper.level.2.description": "We all need little help sometimes. Why not get in touch with our friendly guides?"
"talent.track.helper.level.2.title": "A Helping Hand"
"talent.track.helper.level.2.unlock": "Get a tour from one of our Helpers, make a help request and give feedback to advance to the next level."
"talent.track.helper.level.3.description": "So, now you've settled in, and you're getting all suave with your fellow Habbos. Why not brush up on the Habbo Way and get better acquainted with our friendly guides?"
"talent.track.helper.level.3.title": "With a Little Help From My Friends"
"talent.track.helper.level.3.unlock": "Join a Habbo Helper group and complete the Habbo Way quiz to advance to the next level."
"talent.track.helper.level.4.description": "Now that you know the Hotel like your own Inventory, it's time to Pay it Forward! Give a tour or two, or help someone with their Furni woes. Feels good, doesn't it?"
"talent.track.helper.level.4.title": "Frank's Little Helper"
"talent.track.helper.level.4.unlock": "Tour guide abilities unlocked. Lend a hand to advance to next level."
"talent.track.helper.level.5.description": "Awesome! You have really proved yourself as a tour guide. Keep up the good work!"
"talent.track.helper.level.5.title": "Habbo Helper"
"talent.track.helper.level.5.unlock": "Keep on helping your fellow Habbos to move up the ranks!"
"talent.track.helper.level.6.description": "As a Guardian you can help other Habbos get the most of their Habbo experience and always be on the look out for bullying and antisocial behavior."
"talent.track.helper.level.6.title": "Novice Guardian"
"talent.track.helper.level.6.unlock": "Guardian abilities unlocked. Patrol the hallways of Habbo helping those in need to reach the next level."
"talent.track.helper.level.7.description": "Keep on helping Habbos throughout the Hotel-"
"talent.track.helper.level.7.title": "Guardian"
"talent.track.helper.level.7.unlock": "Help Habbos throughout the Hotel to advance to the next level."
"talent.track.helper.level.8.description": "TO BE RELEASED"
"talent.track.helper.level.8.title": "TBD"
"talent.track.helper.level.8.unlock": "TO BE RELEASED"
"talent.track.helper.levelup.message": "Yay! Your hard work has just unlocked a new level from the Habbo Helpers talent track!"
"talent.track.helper.progress.title": "YOUR PROGRESS AS A HELPER"
"talent.track.progress.emailchanged": "Verification e-mail sent! Please check your inbox."
"talent.track.progress.emailverified": "It appears you have already verified an e-mail address. Good for you! :) You should see this achievement completed the next time you open up the Helper Talent Track."
"talent.track.progress.setemail": "Re-send verification message"
"talent.track.progress.tour.accept": "Ask for a personal tour"
"talent.track.progress.tour.decline": "No thanks, I'd rather explore on my own."
"talent.track.progress.tour.header.body": "Check out the guided tours."
"talent.track.progress.tour.header.caption": "Gran Turismo"
"talent.track.progress.tour.info.body": "Get a guided tour, see the most awesome rooms, and ask our Tour Guides what Habbo is all about."
"talent.track.progress.tour.info.caption": "How about a personal tour?"
"talent.track.task.action.citizenship.ACH_AllTimeHotelPresence1.description": "Take a look around…"
"talent.track.task.action.citizenship.ACH_AllTimeHotelPresence2.description": "Power hour! Keep up the good work."
"talent.track.task.action.citizenship.ACH_AvatarLooks1.description": "You can express yourself by changing your character's face, hair and clothing. You can check the full range of options by clicking yourself and choosing: \"
"talent.track.task.action.citizenship.ACH_AvatarLooks1.link": "Change your looks"
"talent.track.task.action.citizenship.ACH_EmailVerification1.description": "A verification message was sent to you when you registered to Habbo. We used the address you typed, but if you want to change it, or need to have us re-send the message, you can do so here:"
"talent.track.task.action.citizenship.ACH_FriendListSize1.description": "You can add someone as a friend by clicking on them in a room and choosing: \"
"talent.track.task.action.citizenship.ACH_HabboWayGraduate1.description": "You can find the Habbo Way by clicking on the \"
"talent.track.task.action.citizenship.ACH_HabboWayGraduate1.link": "Open the Habbo Way"
"talent.track.task.action.citizenship.ACH_RegistrationDuration1.description": "You'll be a local in no time! Keep up the good work."
"talent.track.task.action.citizenship.ACH_RespectGiven1.description": "You can respect someone by clicking on them in a room and choosing: \"
"talent.track.task.action.citizenship.ACH_RoomEntry.description": "All the rooms in the hotel can be found using the Navigator. You can open it by clicking on \"
"talent.track.task.action.citizenship.ACH_RoomEntry.link": "Open Navigator"
"talent.track.task.action.citizenship.ACH_RoomEntry1.description": "Hey, Columbus! Why don’t you explore some more rooms?"
"talent.track.task.action.citizenship.ACH_RoomEntry2.description": "Room raider! Receive this achievement for visiting 20 rooms."
"talent.track.task.action.citizenship.ACH_SafetyQuizGraduate1.description": "The Quiz is at the end of the Habbo Safety Booklet. Read the booklet and then take the quiz. If you don't pass the quiz, you can try again right away."
"talent.track.task.action.citizenship.ACH_SafetyQuizGraduate1.link": "Take the quiz"
"talent.track.task.action.helper.ACH_HabboWayGraduate1.description": "You can find the Habbo Way by clicking on the \"
"talent.track.task.action.helper.ACH_HabboWayGraduate1.link": "Open the Habbo Way"
"talent.track.task.action.helper.GuideGroupMember1.description": "Join the official Habbo Helpers by visiting the official Habbo Helpers group."
"talent.track.task.action.helper.GuideGroupMember1.link": "Go to Habbo Helpers group base"
"talent.track.task.action.title": "How do I do this?"
